 Unix Time (secs) ,Temperature C , Humidity , Carbon Dioxide level (ppm) , Oxidising gases (ppm) , Reducing gases (ppm) , NH3 (ppm) , Front ultrasonic distance(mm) , rear ultrasonic distance(mm) 
1678192107732.764,29,21,562,8217,71188,52992,1003,148
1678192110616.776,29,21,562,8253,71118,52941,1002,179
1678192112106.916,29,21,562,8235,71118,52889,1002,179
1678192113594.957,29,21,563,8235,71471,53252,1002,179
1678192116506.695,29,21,563,8235,70556,53096,1002,179
1678192117998.509,29,21,562,8217,71118,52837,1002,180
1678192120902.159,29,21,562,8181,70556,52272,1002,179
1678192122402.914,29,21,562,8110,70696,51865,1002,179
1678192125301.921,29,21,562,8092,71188,52119,1003,179
1678192126793.623,29,21,561,8092,71188,51865,1002,179
1678192128294.586,29,21,562,8163,70766,52068,1002,179
1678192131203.6692,29,21,562,8217,70696,52631,1002,179
1678192132721.4429,29,21,562,8181,70556,52170,1001,179
1678192135626.24,29,20,562,8271,71118,52631,1002,177
1678192137119.674,29,21,563,8289,70766,52837,1002,178
1678192140023.918,29,21,562,8289,71542,53200,1002,176
1678192141520.262,29,21,563,8289,70766,52889,1001,181
1678192144420.253,29,21,563,8253,71329,52786,1002,177
1678192145906.647,29,21,563,8217,71969,52734,1001,179
1678192147388.499,29,21,563,8217,71118,52631,1001,177
1678192150289.242,29,21,562,8181,70278,51966,1001,177
1678192151783.468,29,21,563,8145,70556,51865,1001,192
1678192154686.2039,29,21,563,8110,70766,52119,1001,178
1678192156186.719,29,21,563,8145,70626,51966,1001,177
1678192159078.277,29,21,562,8199,70906,52323,1001,177
1678192160565.274,29,21,562,8128,70977,52170,1001,177
1678192163445.101,29,21,562,8199,71542,52889,1001,177
1678192164942.5881,29,21,562,8199,70696,52631,1002,181
1678192166442.507,29,20,563,8181,70696,52786,1002,177
1678192169364.059,29,21,563,8217,70906,53096,1002,177
1678192170868.488,29,20,563,8217,70626,52992,1002,180
1678192173759.46,29,20,562,8289,71471,53252,1002,125
1678192175191.394,29,20,562,8253,70696,53148,39,93
1678192178063.035,29,20,562,8307,71684,53461,249,999
1678192179598.197,29,20,563,8398,71118,53618,1002,999
1678192182544.823,29,20,563,8524,73194,54462,1002,442
1678192184041.755,29,21,563,8506,72112,54622,1002,299
1678192185522.389,29,20,563,8561,72040,55159,1002,162
1678192188373.522,29,20,563,8579,72327,54890,121,124
1678192189860.117,29,20,564,8579,71613,54890,108,999
1678192192730.271,29,20,563,8634,71329,55051,99,870
1678192194223.884,29,20,564,8634,72112,55429,91,999
1678192197124.8938,29,20,564,8652,71684,55483,92,999
1678192198620.09,29,20,564,8634,71259,55320,93,999
1678192201462.138,29,20,564,8634,71329,55159,92,999
1678192202960.5862,29,20,564,8579,71188,54729,92,999
1678192204461.802,29,20,563,8816,71188,54783,93,999
1678192207352.371,29,20,564,8561,70977,54303,92,999
1678192208816.391,29,20,564,8615,70836,54144,92,652
1678192211696.78,29,20,564,8488,71755,54516,91,1008
1678192213170.982,29,20,564,8524,71047,54038,91,691
1678192216050.2852,29,20,563,8506,70977,54091,92,999
1678192217533.9539,29,21,563,8325,71188,53933,92,999
1678192220406.871,29,21,563,8488,70906,54569,91,824
1678192221899.802,29,20,563,8452,71188,53670,92,999
1678192224757.911,29,21,562,8434,71542,54303,93,999
1678192226233.771,29,21,563,8434,71471,53986,91,902
1678192227696.1519,29,20,562,8434,71188,53670,93,278
1678192230587.5198,29,21,562,8470,71188,53933,92,999
1678192232068.582,29,20,563,8452,70766,53775,92,767
1678192234961.486,29,21,563,8506,71259,53880,171,999
1678192236458.903,29,20,563,8488,70906,53775,164,999
1678192239365.242,29,21,563,8561,71613,54409,232,590
1678192240802.307,29,21,563,8561,71684,54462,278,95
1678192243686.855,29,20,563,8615,71188,54783,1002,125
1678192245125.787,29,20,563,8561,71047,54409,119,124
1678192248096.2788,29,21,563,8579,71684,54303,1002,344
1678192249543.26,29,20,563,8488,71400,53828,237,187
1678192250978.549,29,20,563,8506,71259,54462,123,122
1678192253866.434,29,20,563,8488,70556,53461,1002,999
1678192255338.757,29,20,563,8506,70696,53096,329,329
1678192258219.289,29,20,563,8488,70766,53565,330,440
1678192259688.557,29,20,563,8506,71047,53775,330,379
1678192262563.3618,29,20,563,8506,71471,54091,330,241
1678192264034.584,29,20,563,8488,71400,53933,330,303
1678192266944.4348,29,20,563,8524,71047,54091,331,999
1678192268436.041,29,20,563,8488,70906,53618,329,725
1678192271335.642,29,20,563,8506,71684,54038,328,999
1678192272805.786,29,20,563,8524,71471,53986,328,245
1678192274299.114,29,20,563,8506,71613,54144,1002,117
1678192277180.0388,29,20,562,8506,71329,53933,1002,869
1678192278673.295,29,20,562,8524,70626,53722,1002,247
1678192281592.643,29,20,562,8506,71118,53880,1002,337
1678192283083.655,29,20,562,8488,71329,53775,1002,338
1678192286000.661,29,20,562,8452,71400,53408,1002,341
1678192287502.041,29,20,562,8452,71118,53200,1002,337
1678192289010.211,29,20,562,8452,71259,53618,1002,341
1678192291926.1611,29,20,562,8506,71613,53670,1002,177
1678192293356.503,29,20,562,8597,71259,54409,171,115
1678192296182.867,29,20,562,8597,72112,54303,142,756
1678192297678.975,29,20,563,8707,72327,55212,189,999
1678192300526.468,29,20,563,8688,72255,54943,95,206
1678192302027.7659,29,20,563,8761,71684,55320,90,999
1678192304937.87,29,20,563,8743,72399,55266,90,999
1678192306414.808,29,20,563,8688,71897,55051,96,838
1678192309254.794,29,20,563,8761,72471,56357,90,398
1678192310748.7358,29,20,563,8688,71118,54836,90,999
1678192313701.821,29,20,562,8597,72183,54676,1004,999
1678192315203.2722,29,20,562,8634,71969,54569,90,999
1678192316637.326,29,20,562,8634,71259,54622,89,135
1678192319520.2688,29,20,562,8597,71755,54622,90,596
1678192321010.622,29,20,562,8597,71118,54409,91,999
1678192323866.266,29,20,562,8579,71613,54356,90,999
1678192325306.4722,29,20,563,8597,71188,54783,100,253
1678192328212.864,29,20,563,8561,71613,54197,90,999
1678192329700.1719,29,20,563,8688,71118,54091,88,808
1678192332581.867,29,20,562,8597,71047,53880,89,999
1678192334066.3271,29,20,562,8670,71329,53722,89,859
1678192336850.892,29,20,563,8524,71259,53986,89,123
1678192338345.0762,29,20,562,8524,70906,53618,90,999
1678192339831.317,29,20,562,8470,72040,53461,89,999
1678192342696.909,29,20,562,8506,71259,53722,89,999
1678192344194.4832,29,20,562,8506,71259,53670,88,999
1678192346998.7258,29,20,562,8470,71471,53828,91,391
1678192348502.158,29,20,562,8470,71329,53670,96,999
1678192351310.119,29,20,562,8597,71826,54144,166,132
1678192352776.32,29,20,562,8561,71897,54409,231,513
1678192355620.344,29,20,562,8670,71613,54144,278,321
1678192357091.148,29,20,562,8634,71897,54729,331,255
1678192359927.341,29,20,562,8652,71684,54836,134,200
1678192361360.323,29,20,562,8688,70977,54409,88,91
1678192364222.3352,29,20,562,8634,70906,54250,1002,186
1678192365726.042,29,20,562,8761,70906,54038,1002,138
1678192368505.958,29,20,562,8634,71259,54462,154,99
1678192370038.024,29,20,562,8615,71047,53933,1002,999
1678192372974.876,29,20,562,8670,71684,54144,390,999
1678192374487.99,29,20,563,8670,71755,54250,429,999
1678192376034.565,29,20,563,8634,71542,54303,1002,999
1678192378913.044,29,20,563,8615,71329,54091,1002,926
1678192380441.934,29,20,563,8615,70626,53565,1002,965
1678192383338.032,29,20,563,8561,70696,53408,158,82
1678192384769.1729,29,20,562,8524,70906,53148,159,96
1678192387672.667,29,20,563,8488,70766,52837,1002,311
1678192389185.989,29,20,563,8688,71613,53304,946,588
1678192390672.437,29,20,563,8543,71329,53356,494,588
1678192393537.458,29,20,563,8543,72831,53828,558,129
1678192395056.818,29,20,563,8543,71259,53618,1002,480
1678192397965.092,29,20,563,8634,70836,53775,1002,175
1678192399388.615,29,20,563,8615,71897,53933,57,183
1678192402301.654,29,20,563,8579,71188,53722,434,999
1678192403800.252,29,20,563,8579,70766,53618,1002,119
1678192406650.272,29,20,563,8597,70906,53775,1002,209
1678192408160.282,29,20,563,8543,71400,53670,1002,434
1678192411093.243,29,20,563,8634,71188,54197,1002,185
1678192412597.687,29,20,563,8615,71542,54091,1002,361
1678192414097.943,29,20,563,8670,71329,54356,1002,342
1678192417003.267,29,20,563,8670,71329,54303,1002,307
1678192418520.636,29,20,563,8670,71259,54303,1003,295
1678192421408.8892,29,20,564,8688,71471,54569,1002,216
1678192422856.88,29,20,564,8652,70906,54091,56,177
1678192425756.002,29,20,564,8688,71259,54569,229,598
1678192427255.47,29,20,564,8652,71259,54091,305,999
1678192430062.103,29,20,564,8688,71118,54197,172,69
1678192431549.013,29,20,564,8688,71188,53828,1002,230
1678192433046.0042,29,20,564,8688,72471,53828,1002,232
1678192435965.0781,29,20,564,8688,71542,54356,1003,162
1678192437454.602,29,20,564,8725,71329,54303,1002,162
1678192440348.726,29,20,564,8761,71400,54569,1002,116
1678192441777.72,29,20,565,8725,71542,54569,59,137
1678192444641.9612,29,20,565,8725,71118,54197,96,424
1678192446117.945,29,20,564,8798,72399,54462,88,162
1678192448909.721,29,20,564,8725,70977,54091,169,62
1678192450408.659,29,20,564,8761,70906,54038,1002,95
1678192453294.638,29,20,564,8725,71329,54303,1016,105
1678192454788.413,29,20,564,8798,71826,54569,1002,105
1678192456303.872,29,20,565,8761,70977,54197,1002,213
1678192459099.426,29,20,565,8816,70977,54622,59,172
1678192460642.365,29,20,565,8835,71613,55212,1002,954
1678192463488.389,29,20,565,9018,71897,55973,97,406
1678192464950.1792,29,20,565,8926,72112,55700,135,200
1678192467737.467,29,20,565,8982,71188,55429,149,86
1678192469233.601,29,20,565,8926,71969,55700,174,997
1678192472028.513,29,20,565,9018,71826,55809,57,173
1678192473479.866,29,20,565,9000,71329,55754,79,86
1678192476303.208,29,20,565,8982,71542,55483,130,99
1678192477744.075,29,20,565,9000,71684,55700,176,55
1678192480535.517,29,20,565,9018,70977,55754,248,231
1678192481971.596,29,20,565,8945,71047,54997,140,133
1678192484860.311,29,20,565,8926,70836,54890,1002,192
1678192486298.972,29,20,565,8926,71542,55212,46,199
1678192489193.1208,29,20,564,8871,71542,54783,1002,148
1678192490693.819,29,20,564,8908,71400,55266,1002,57
1678192493484.78,29,20,564,8890,71897,54729,188,45
1678192494912.4602,29,20,564,8908,71118,55105,191,47
1678192497763.3208,29,20,564,8871,72112,55105,1002,45
1678192499191.57,29,20,564,8871,71329,54943,188,45
1678192501982.115,29,20,564,8908,71826,55429,189,45
1678192503422.731,29,20,563,8890,71897,54997,189,45
1678192506214.187,29,20,564,8963,71188,55483,189,46
1678192507640.777,29,20,564,8926,71047,54890,189,46
1678192510528.2979,29,20,563,8945,71400,55320,1002,999
1678192512015.827,29,20,564,8963,72255,55374,141,999
1678192513522.697,29,20,563,8908,71613,55320,1002,614
1678192516324.707,29,20,563,8926,70977,54783,574,104
1678192517825.803,29,20,563,8926,70906,54409,1002,149
1678192520669.89,29,20,563,8890,70906,54622,190,48
1678192522099.0542,29,20,563,8871,71471,54303,186,49
1678192524878.8618,29,20,562,8871,71755,54783,187,47
1678192526319.735,29,20,562,8871,71047,55754,188,47
1678192529126.546,29,20,562,8871,71400,54462,188,48
1678192530575.899,29,20,562,8871,71542,54836,190,47
1678192533371.937,29,20,562,8816,71329,54356,187,48
1678192534816.8398,29,20,561,8871,71329,54569,186,46
1678192537692.811,29,20,562,8890,71542,54890,151,453
1678192539197.286,29,20,562,8871,70696,54409,164,999
1678192542044.006,29,20,562,8798,71329,54462,48,187
1678192543526.697,29,20,561,8798,70626,53828,1002,153
1678192546379.063,29,20,561,8743,71118,53618,164,64
1678192547825.319,29,20,561,8725,71471,53933,184,53
1678192550650.301,29,20,561,8743,71471,54356,1002,53
1678192552088.5269,29,20,560,8798,70977,54144,185,54
1678192554873.941,29,20,560,8853,71188,54676,185,53
1678192556325.1008,29,20,560,8798,71613,54250,184,53
1678192559110.291,29,20,560,8761,71329,54303,184,53
1678192560542.218,29,20,560,8798,70766,53828,184,52
1678192563395.916,29,20,560,8743,71542,54409,251,999
1678192564839.237,29,20,560,8798,71329,54409,159,294
1678192567687.112,29,20,560,8780,70977,53986,47,184
1678192569179.358,29,20,560,8761,71400,54038,1002,257
1678192570668.644,29,20,560,8761,71259,53828,1002,160
1678192573539.109,29,20,559,8743,70906,53880,813,49
1678192574981.604,29,20,559,8743,71969,53933,183,57
1678192577787.116,29,20,559,8707,71259,54091,184,53
1678192579233.919,29,20,559,8725,71400,53880,184,54
1678192582029.958,29,20,559,8652,70906,53565,184,55
1678192583457.3318,29,20,559,8725,71400,53775,184,53
1678192586318.522,29,20,559,8761,70977,53880,1002,52
1678192587745.7358,29,20,559,8761,71118,54091,176,56
1678192590580.269,29,20,559,8707,71329,53986,165,107
1678192592064.437,29,20,559,8688,71118,53722,163,999
1678192594854.682,29,20,559,8688,70696,53565,48,188
1678192596354.037,29,20,559,8652,70626,53356,1002,168
1678192599248.2659,29,20,559,8688,70556,53200,1002,75
1678192600731.961,29,20,559,8670,70766,52889,1002,54
1678192603570.701,29,20,559,8652,71826,53148,184,54
1678192604998.698,29,20,558,8707,70626,53408,186,54
1678192607833.011,29,20,558,8670,70766,53044,1002,55
1678192609267.742,29,20,558,8670,71188,53252,186,67
1678192612081.058,29,20,558,8634,71118,53148,185,55
1678192613594.589,29,20,558,8597,70977,52992,1002,55
1678192616485.268,29,20,558,8634,71047,53044,1002,984
1678192617991.944,29,20,557,8615,70836,52631,166,999
1678192619520.06,29,20,557,8707,70486,53096,1002,882
1678192622408.237,29,20,557,8597,70556,52477,1002,251
1678192623893.1921,29,20,556,8615,71400,53148,1002,174
1678192626752.422,29,20,556,8634,71188,52837,190,55
1678192628203.9749,29,20,556,8688,70906,52889,182,53
1678192631024.224,29,20,555,8743,71755,53565,185,644
1678192632495.907,29,20,555,8816,71259,54250,261,471
1678192635409.331,29,20,556,8871,72399,54409,217,894
1678192636858.646,29,20,556,8908,71118,54783,240,283
1678192639756.8171,29,20,556,8926,71755,54836,241,999
1678192641259.082,29,20,555,8871,71826,54676,242,999
1678192642733.146,29,20,555,8871,71259,54409,240,590
1678192645632.701,29,20,555,8853,71047,54409,240,628
1678192647142.224,29,20,555,8853,70696,54091,240,999
1678192650016.344,29,20,555,8835,71047,54091,241,655
1678192651477.223,29,20,556,8798,70836,53933,241,225
1678192654408.5059,29,20,556,8743,71118,53933,240,999
1678192655919.107,29,20,556,8780,71188,54676,241,999
1678192658816.3062,29,20,556,8743,71329,54250,241,674
1678192660321.5498,29,20,555,8707,71118,53722,240,999
1678192661793.531,29,20,555,8725,71400,53933,240,419
1678192664661.0059,29,20,555,8688,70626,53722,242,154
1678192666157.1309,29,20,555,8761,71047,53933,241,999
1678192669039.3,29,20,555,8707,71329,53722,240,446
1678192670507.322,29,20,555,8670,70766,53670,244,587
1678192673377.929,29,20,554,8688,71047,53565,242,998
1678192674815.53,29,20,554,8798,70417,53775,242,153
1678192677677.633,29,20,554,8670,71259,53880,241,536
1678192679125.1062,29,20,554,8652,70347,53408,240,138
1678192681988.7468,29,20,554,8670,70906,53618,241,275
1678192683485.025,29,20,555,8579,70906,53200,241,999
1678192686330.292,29,20,555,8579,70556,52941,243,999
1678192687788.457,29,20,555,8579,70906,53200,243,350
1678192690692.344,29,20,555,8688,71542,53565,240,999
1678192692200.947,29,20,554,8597,70278,52941,240,999
1678192693695.194,29,20,555,8615,71188,53408,240,999
